"model","Accuracy","Sensitivity_brand","Sensitivity_female","Sensitivity_male","Specificity_brand","Specificity_female","Specificity_male","AUC_brand","AUC_female","AUC_male"
"c4.full_b",0.590969152473415,0.715373961218837,0.615219392451672,0.445878848063555,0.837898089171975,0.74318835674395,0.802423946640638,0.842721474319389,0.742310396957933,0.696465584679275
"kn.num_f",0.518433763334212,0.550207756232687,0.610309911015649,0.388944058258855,0.876592356687898,0.625232695887629,0.768098259313486,0.785882197584558,0.6771742295221,0.644976178625334
"nb.words_b",0.541064919724674,0.499480609418283,0.712028229518257,0.396391923204237,0.925398089171975,0.582162802504654,0.793395152106719,0.806005798207386,0.716754392109726,0.678423181323814
"nb.full_f",0.524487606922485,0.688365650969529,0.562595888309297,0.326713008937438,0.736066878980892,0.707649348451515,0.84146738246299,0.785175065502761,0.710690745821704,0.672538071577155
"nn.full_b",0.540520431391605,0.693213296398892,0.76004909481436,0.157729228732208,0.857245222929936,0.559316297173803,0.884171140393688,0.843884410232546,0.708688817319403,0.625704823030716
"rf.full_f",0.643161936740279,0.725242382271468,0.678582387235348,0.526481297583582,0.87890127388535,0.772804196987646,0.809907271839922,0.877901005919509,0.805065639336836,0.765317846922311
"xg.num_f",0.614802198346701,0.718317174515235,0.650813132862841,0.476994372724263,0.874203821656051,0.741919106447791,0.802098584675451,0.87761988990243,0.777785598712518,0.732500068524181
"votos",0.640598883830639,0.726981960734987,0.698372727386479,0.495694927256341,0.882801672107715,0.749366919992148,0.824631324546081,NA,NA,NA
"promedios",0.63868850356613,0.733544647442953,0.700982442091038,0.480802096169999,0.878105468065502,0.745387935716911,0.830404938749951,0.882770708639901,0.800828663648001,0.762028155050478
"stacking",0.646651618509649,0.720048476454294,0.66845658177355,0.552962595167163,0.895302547770701,0.775765781012016,0.795510004880429,0.885973049583605,0.809886038277899,0.765005691680389
